Date,Global_Sugar_Price
2014-01-01,15.707619047619
2014-02-01,16.8852631578947
2014-03-01,17.8880952380952
2014-04-01,18.2147619047619
2014-05-01,18.2404761904762
2014-06-01,18.2419047619048
2014-07-01,18.7304545454545
2014-08-01,17.7247619047619
2014-09-01,16.5442857142857
2014-10-01,16.475652173913
2014-11-01,15.8789473684211
2014-12-01,14.9922727272727
2015-01-01,15.0625
2015-02-01,14.5121052631579
2015-03-01,12.8409090909091
2015-04-01,12.9109523809524
2015-05-01,12.7035
2015-06-01,12.1136363636364
2015-07-01,11.8786363636364
2015-08-01,10.6747619047619
2015-09-01,12.1371428571429
2015-10-01,14.1418181818182
2015-11-01,14.843
2015-12-01,14.7627272727273
2016-01-01,14.2910526315789
2016-02-01,13.314
2016-03-01,15.4304545454545
2016-04-01,14.9980952380952
2016-05-01,16.6842857142857
2016-06-01,19.3372727272727
2016-07-01,19.687
2016-08-01,20.014347826087
2016-09-01,21.352380952381
2016-10-01,22.9166666666667
2016-11-01,20.8685714285714
2016-12-01,18.83
2017-01-01,20.5375
2017-02-01,20.4057894736842
2017-03-01,18.0595652173913
2017-04-01,16.3168421052632
2017-05-01,15.6890909090909
2017-06-01,13.53
2017-07-01,14.119
2017-08-01,13.7960869565217
2017-09-01,13.931
2017-10-01,14.2318181818182
2017-11-01,14.9666666666667
2017-12-01,14.4325
2018-01-01,13.9795238095238
2018-02-01,13.5726315789474
2018-03-01,12.8257142857143
2018-04-01,11.8242857142857
2018-05-01,11.8272727272727
2018-06-01,12.0619047619048
2018-07-01,11.1552380952381
2018-08-01,10.4552173913043
2018-09-01,10.7836842105263
2018-10-01,13.1847826086957
2018-11-01,12.792380952381
2018-12-01,12.5535
2019-01-01,12.6809523809524
2019-02-01,12.9289473684211
2019-03-01,12.4738095238095
2019-04-01,12.5357142857143
2019-05-01,11.825
2019-06-01,12.4395
2019-07-01,12.1286363636364
2019-08-01,11.5554545454546
2019-09-01,11.158
2019-10-01,12.4573913043478
2019-11-01,12.687
2019-12-01,13.3352380952381
2020-01-01,14.1666666666667
2020-02-01,15.0710526315789
2020-03-01,11.805
2020-04-01,10.0519047619048
2020-05-01,10.641
2020-06-01,11.8281818181818
2020-07-01,11.9018181818182
2020-08-01,12.8142857142857
2020-09-01,12.4414285714286
2020-10-01,14.2877272727273
2020-11-01,14.9335
2020-12-01,14.6677272727273
2021-01-01,15.9163157894737
2021-02-01,17.0005263157895
2021-03-01,15.805652173913
2021-04-01,16.237619047619
2021-05-01,17.2033333333333
2021-06-01,17.2140909090909
2021-07-01,17.7147619047619
2021-08-01,19.3836363636364
2021-09-01,19.2642857142857
2021-10-01,19.6190476190476
2021-11-01,19.7461904761905
2021-12-01,19.1672727272727
2022-01-01,18.461
2022-02-01,18.2031578947368
2022-03-01,19.1078260869565
2022-04-01,19.6990476190476
2022-05-01,19.2809090909091
2022-06-01,18.7940909090909
2022-07-01,18.34
2022-08-01,18.0626086956522
2022-09-01,18.1859090909091
2022-10-01,18.3009523809524
2022-11-01,19.4059090909091
2022-12-01,20.065
2023-01-01,19.9431818181818
2023-02-01,21.4035
2023-03-01,20.9617391304348
2023-04-01,24.582
2023-05-01,25.7295652173913
2023-06-01,24.7622727272727
2023-07-01,24.0080952380952
2023-08-01,24.1930434782609
2023-09-01,26.5638095238095
2023-10-01,26.9036363636364
2023-11-01,27.3095454545455
2023-12-01,22.1457142857143
2024-01-01,22.4747826086957
2024-02-01,23.3419047619048
2024-03-01,21.7690476190476
2024-04-01,20.6472727272727
2024-05-01,18.7995652173913
2024-06-01,19.1695
2024-07-01,19.3517391304348
2024-08-01,18.4195454545455
2024-09-01,20.6247619047619
2024-10-01,22.3552173913043
2024-11-01,21.6552380952381
2024-12-01,20.3118181818182
